ticker,date
AMD,2016-07-18
AMD,2016-12-06
AMD,2016-05-16
AMD,2017-02-01
OCGN,2024-02-12
NVDA,2024-01-08
TSLA,2020-06-30
TSLA,2020-08-12
TSLA,2020-11-18
CAN,2021-02-08
JMIA,2020-07-08
NVAX,2020-06-05
NVAX,2005-09-30
FVRR,2020-04-08
FVRR,2020-06-15
MRNA,2020-04-14
MRNA,2020-11-25
MRNA,2021-07-14
OSTK,2020-05-02
OSTK,2020-06-19
TTD,2020-05-29
PRTS,2020-07-08
ASAP,2020-04-30
AAPL,1998-02-09
AAPL,2004-08-04
TSLA,2019-12-10
TSLA,2020-06-30
TSLA,2020-08-12
TSLA,2020-11-17
ORCL,1999-11-01
COST,1991-01-17
TXN,1995-04-24
TXN,1995-06-15
W,2020-07-29
AMD,1983-01-06
VRTX,2000-05-30
VRTX,2000-06-16
VRTX,2005-06-17
MSTR,1999-06-21
MSTR,1999-09-22